Date,Time,RUNNING,VELOCITY,DENSITY,DISCHPR,SWINGSPD,SWINGRADIUS,CDBW,MDBW,CONFIGURATION,UWPINTAKE,UWPDISCH,UWPHP,UWPHPLIMIT,UWPGEAR,UWPRPM,UWPRPMSP,P1INTAKE,P1DISCH,P1HP,P1HPLIMIT,P1GEAR,P1ENGRPM,P1RPMSP,P1FCSP,P1SPCSP,P1DPCSP,P1SMCSP,P2INTAKE,P2DISCH,P2HP,P2HPLIMIT,P2GEAR,P2ENGRPM,P2RPMSP,P2FCSP,P2SPCSP,P2DPCSP,P2SMCSP,CUTTERT,CUTTERTLIM,CUTTERRPM,CUTTERRPMSP,PSWINGLP,PSWINGLPLIM,PSWINGDRUMDIA,PSWINGLS,PSWINGLSSP,SSWINGLP,SSWINGLPLIM,SSWINGDRUMDIA,SSWINGLS,SSWINGLSSP,PLADDERLP,PLADDERLPLIM,PLADDERLS,PLADDERLSSP,SLADDERLP,SLADDERLPLIM,SLADDERLS,SLADDERLSSP,SPUDMAINXSLP,SPUDMAINLPLIM,SPUDMAINLS,SPUDMAINLSSP,SPUDMAINPOS,SPUDAUXLP,SPUDAUXLPLIM,SPUDAUXLS,SPUDAUXLSSP,SPUDAUXPOS,SPUDCARLP,SPUDCARLPLIM,SPUDCARLS,SPUDCARLSSP,SPUDCARPOS,SPUDX,SPUDY,SPUDSTAT,SPUDRNG,CUTTERX,CUTTERY,CUTTERSTAT,CUTTERRNG,CUTTERELEV,TIDE,HEADING,DRAFT,LANGLE,CHOT,CDBT,MDBT,HULLPITCH,HULLROLL,HULLHEAVE,SRVSTATUS,SRVUWPINOPNSP,SRVUWPINCLSSP,SRVUWPPOUTOPNSP,SRVUWPPOUTCLSSP,SRVP1OUTOPNSP,SRVP1OUTCLSSP,SRVP2OUTOPNSP,SRVP2OUTCLSSP,GEN1LOADPC,GEN2LOADPC,GEN3LOADPC,B1P1INTAKE,B1P1DISCH,B1P1HP,B1P1HPLIMIT,B1P1GEAR,B1P1ENGRPM,B1P1RPMSP,B1P1FCSP,B1P1SPCSP,B1P1DPCSP,B1P1SMCSP,B1P2INTAKE,B1P2DISCH,B1P2HP,B1P2HPLIMIT,B1P2GEAR,B1P2ENGRPM,B1P2RPMSP,B1P2FCSP,B1P2SPCSP,B1P2DPCSP,B1P2SMCSP,B2P1INTAKE,B2P1DISCH,B2P1HP,B2P1HPLIMIT,B2P1GEAR,B2P1ENGRPM,B2P1RPMSP,B2P1FCSP,B2P1SPCSP,B2P1DPCSP,B2P1SMCSP,B2P2INTAKE,B2P2DISCH,B2P2HP,B2P2HPLIMIT,B2P2GEAR,B2P2ENGRPM,B2P2RPMSP,B2P2FCSP,B2P2SPCSP,B2P2DPCSP,B2P2SMCSP
2020/01/10,00:01:40,OFF,0.00579,1.6132,-2.9951,0.14862,344.2,-9.4211,-10.174,0,0.05862,0.43846,0,1,1,0,0,0.43846,-0.92419,0,0,880,0,800,0,0,0,0,-0.92419,-2.9951,0,0,880,0,820,0,0,0,0,0.371,100,0,0,0.215,2.5827,0,0,0,0.215,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6135,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6241,2.6241,132.46,-0.3645,-1.117,0.53603,-0.34384,0,1,-6,-3,33,36,0,0,0,0,10.754,0.00357,0.0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:01:50,OFF,0.0052,1.6132,-2.9951,0.0599,344.19,-9.3994,-10.152,0,0.05862,0.43621,0,1,1,0,0,0.43621,-0.91438,0,0,880,0,800,0,0,0,0,-0.91438,-2.9951,0,0,880,0,820,0,0,0,0,0,100,0.02155,0,0.215,2.5442,0,0,0,0.215,25,0,0,0,0.215,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6335,2.6335,132.46,-0.34294,-1.0956,0.50478,-0.32821,0,1,-6,-3,33,36,0,0,0,0,10.647,0.00357,0.11057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:02:00,OFF,0.00402,1.6132,-2.9951,0.37761,344.19,-9.413,-10.166,0,0.06177,0.44071,0,1,1,0,0,0.44071,-0.92419,0,0,880,0,800,0,0,0,0,-0.92419,-2.9951,0,0,880,0,820,0,0,0,0,0.371,100,0,0,0.215,2.5827,0,0,0,0.215,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6276,2.6276,132.46,-0.35642,-1.109,0.51259,-0.32821,0,1,-6,-3,33,36,0,0,0,0,10.611,0.00357,0.11057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:02:10,OFF,0.00402,1.6132,-2.9951,0.45986,344.2,-9.4066,-10.159,0,0.06177,0.43621,0,1,1,0,0,0.43621,-0.91438,0,0,880,0,800,0,0,0,0,-0.91438,-2.9951,0,0,880,0,820,0,0,0,0,0,100,0.02155,0,0.215,2.5827,0,0,0,0.215,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6135,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6304,2.6304,132.46,-0.35013,-1.1027,0.5204,-0.34384,0,1,-6,-3,33,36,0,0,0,0,10.19,0,0.0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:02:20,OFF,0.0052,1.6132,-2.9951,-0.35921,344.19,-9.4092,-10.162,0,0.05941,0.43621,0,1,1,0,0,0.43621,-0.91438,0,0,880,0,800,0,0,0,0,-0.91438,-2.9951,0,0,880,0,820,0,0,0,0,0,100,0.02155,0,0.215,2.5827,0,0,0,0.108,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6292,2.6292,132.46,-0.35282,-1.1054,0.5204,-0.33603,0,1,-6,-3,33,36,0,0,0,0,9.9763,0,0.0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:02:30,OFF,0.00638,1.6132,-2.9951,-0.28459,344.19,-9.3967,-10.149,0,0.06098,0.43846,0,1,1,0,0,0.43846,-0.92419,0,0,880,0,800,0,0,0,0,-0.92419,-2.9951,0,0,880,0,820,0,0,0,0,0.371,100,0.02155,0,0.215,2.5827,0,0,0,0.215,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6347,2.6347,132.46,-0.34025,-1.0929,0.53603,-0.33603,0,1,-6,-3,33,36,0,0,0,0,9.5198,0.00357,0.11057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:02:40,OFF,0.00638,1.6132,-2.9951,0.12808,344.19,-9.4203,-10.173,0,0.05941,0.4317,0,1,1,0,0,0.4317,-0.93401,0,0,880,0,800,0,0,0,0,-0.93401,-2.9951,0,0,880,0,820,0,0,0,0,0,100,0,0,0.215,2.5827,0,0,0,0.108,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6245,2.6245,132.46,-0.36361,-1.1161,0.52821,-0.35165,0,1,-6,-3,33,36,0,0,0,0,9.8729,0.00357,0.0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:02:50,OFF,0.00697,1.6132,-2.9951,0.08032,344.2,-9.4006,-10.153,0,0.06255,0.44071,0,1,1,0,0,0.44071,-0.92419,0,0,880,0,800,0,0,0,0,-0.92419,-2.9951,0,0,880,0,820,0,0,0,0,0.371,100,0,0,0.215,2.5827,0,0,0,0.215,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6135,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6331,2.6331,132.46,-0.34384,-1.0965,0.55165,-0.31259,0,1,-6,-3,33,36,0,0,0,0,9.7659,0.00357,0.11057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:03:00,OFF,0.00697,1.6132,-2.9951,0.17065,344.19,-9.414,-10.167,0,0.06255,0.43621,0,1,1,0,0,0.43621,-0.92419,0,0,880,0,800,0,0,0,0,-0.92419,-2.9951,0,0,880,0,820,0,0,0,0,0,100,0.02155,0,0.108,2.6211,0,0,0,0.323,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6273,2.6273,132.46,-0.35732,-1.1099,0.52821,-0.3204,0,1,-6,-3,33,36,0,0,0,0,10.294,0.00357,0.0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/10,00:03:10,OFF,0.00638,1.6132,-2.9852,-0.49318,344.19,-9.4042,-10.157,0,0.05627,0.43846,0,1,1,0,0,0.43846,-0.91438,0,0,880,0,800,0,0,0,0,-0.91438,-2.9852,0,0,880,0,820,0,0,0,0,0,100,0.02155,0.05127,0.215,2.5827,0,0,0,0.215,25,0,0,0,0.108,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6005,0,0,0,0,0,0,0,0,-10.522,1.3708,34.49,2.6316,2.6316,132.46,-0.34743,-1.1001,0.52821,-0.33603,0,1,-6,-3,33,36,0,0,0,0,9.8729,0.03923,0.0749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
